IDWIIQ,cycles,Capacity,sum_LowLevel,ET,avg_disch,med_disch,avg_Idle,med_Idle,med_CycleTmax,avg_Wday,med_Wday,avg_DisAhNeg,med_DisAhNeg,avg_EndVbatCell,med_EndVbatCell,fast_group,retired
1621,63,750,8,0.16,807.62,840,68.52,67,0,3.63,4,59.53,66.53,1.94,1.97,0,0
1622,97,750,13,0.16,862.27,840,82.19,83,0,3.97,4,65.4,71.73,1.93,1.96,0,0
1623,70,750,1,0.17,895.71,840,97.31,67.5,0,4,4,69.83,76.6,1.91,1.92,0,0
1624,81,750,1,0.16,880,780,92.69,87,0,4.22,4,67.54,73.47,1.92,1.96,0,0
1625,53,750,0,0.13,554.72,420,82.06,64,0,3.15,3,40.58,36.8,1.88,1.89,0,0
1626,91,750,4,0.15,829.45,780,86.82,69,0,3.98,4,59.37,65.73,1.92,1.95,0,0
1627,96,750,1,0.17,891.88,900,77.16,79.5,0,3.98,4,66.22,70.67,1.91,1.95,0,0
1629,68,750,17,0.18,824.12,780,76.22,68,0,3.53,3,63.11,68.8,1.92,1.92,0,0
1630,79,750,5,0.15,877.97,840,94.46,76,0,4.1,4,62.47,67.2,1.92,1.95,0,0
1631,79,750,0,0.16,840.76,780,85.62,76,0,4,4,63.81,65.87,1.92,1.97,0,0
1632,68,750,4,0.15,865.59,810,130.43,91,0,4.19,4,64.93,69.67,1.91,1.95,0,0
1633,87,750,6,0.16,979.31,900,92.85,86,0,4.26,4,67.75,69.73,1.92,1.95,0,0
1634,91,750,0,0.15,840.66,840,92.12,84,0,4.11,4,63.5,70.53,1.9,1.89,0,0
1635,97,750,11,0.18,820.82,780,69.96,64,0,3.69,4,65.31,71.33,1.92,1.96,0,0
1636,79,750,1,0.16,762.53,720,97.61,84,0,3.67,4,58.39,69.33,1.93,1.96,0,0
1637,53,750,15,0.17,886.42,780,115.81,88,0,3.79,4,65.99,69.47,1.91,1.94,0,0
1638,90,750,4,0.16,872,840,89.41,74.5,0,3.84,4,62.24,66,1.92,1.95,0,0
1639,93,750,0,0.17,927.1,900,78.62,63,0,3.88,4,66.51,69.73,1.93,1.97,0,0
1640,92,750,0,0.16,898.7,840,84.1,79.5,0,4.1,4,65.18,68.47,1.93,1.96,0,0
1641,77,750,1,0.16,921.04,900,114.1,80,0,4.34,4,67.48,72.53,1.92,1.96,0,0
1642,90,750,26,0.16,886,840,84.62,70,0,3.97,4,64.72,69.8,1.92,1.96,0,0
1643,42,750,4,0.14,811.43,840,102.57,85.5,0,4.02,4,55.71,65.13,1.93,1.955,0,0
1644,99,750,3,0.17,804.85,720,83.8,65,0,3.66,3,62.98,69.2,1.91,1.93,0,0
1645,118,750,1,0.14,778.47,690,66.37,57,0,3.36,3,48.04,65.4,1.95,1.98,0,0
1646,41,750,2,0.16,859.02,960,118.46,79,0,3.8,4,59.23,72.4,1.94,1.97,0,0
1647,64,750,0,0.17,809.06,840,104.14,77.5,0,3.72,3.5,61.66,71.47,1.92,1.955,0,0
1648,79,750,3,0.16,972.91,960,100.47,83,0,4,4,64.95,69.33,1.93,1.97,0,0
1649,68,750,0,0.18,862.94,780,73.87,60,0,3.5,3.5,61.78,67.33,1.93,1.95,0,0
1650,170,1000,10,0.26,517.06,510,46.72,33,0,2.55,2,65.93,71,1.93,1.95,0,0
1651,85,1000,29,0.25,521.65,540,69.4,38,0,2.62,2,66.29,72.1,1.93,1.95,0,0
1652,153,1000,5,0.24,514.12,540,55.8,35,0,2.73,3,65.84,71,1.93,1.96,0,0
1653,170,1000,8,0.26,519.88,540,48.76,31.5,0,2.56,2,67.22,71.4,1.94,1.96,0,0
1654,163,1000,8,0.26,532.27,540,51.63,33,0,2.64,2,68,72.5,1.93,1.97,0,0
1655,148,1000,67,0.25,542.43,540,53.39,45,0,2.82,3,69.22,73.05,1.92,1.97,0,0
1656,156,1000,4,0.25,518.46,540,60.31,35.5,0,2.68,2,66.01,72.3,1.89,1.94,0,1
1657,154,1000,2,0.25,530.65,540,50.54,33,0,2.72,2,67.48,72.1,1.92,1.955,0,0
